nomeEstacao,codEstacao,latitude,longitude,data,ano,mes,valorMedida,coordenadas
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-17,2023,6,0.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-21,2023,6,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-23,2023,6,0.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-24,2023,6,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-26,2023,6,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-27,2023,6,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-28,2023,6,0.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-29,2023,6,1.4000000000000001,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-30,2023,6,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-03,2023,7,0.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-05,2023,7,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-06,2023,7,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-08,2023,7,12.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-09,2023,7,3.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-10,2023,7,2.4000000000000004,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-11,2023,7,9.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-12,2023,7,1.4000000000000001,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-13,2023,7,2.6,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-15,2023,7,0.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-17,2023,7,2.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-18,2023,7,25.6,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-19,2023,7,3.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-20,2023,7,1.6,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-21,2023,7,2.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-24,2023,7,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-25,2023,7,0.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-26,2023,7,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-27,2023,7,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-28,2023,7,4.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-29,2023,7,3.6,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-30,2023,7,1.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-07-31,2023,7,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-01,2023,8,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-02,2023,8,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-03,2023,8,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-04,2023,8,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-06,2023,8,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-07,2023,8,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-08,2023,8,4.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-09,2023,8,22.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-10,2023,8,16.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-11,2023,8,5.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-12,2023,8,2.8000000000000003,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-13,2023,8,5.800000000000001,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-14,2023,8,6.6000000000000005,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-15,2023,8,6.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-16,2023,8,2.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-18,2023,8,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-19,2023,8,1.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-22,2023,8,0.2,"-48.41638888,-24.96277777"
